Rk,Player,Age,Tm,Pos,GP,G,A,PTS,GC,plusMinus,PIM,EV,PP,SH,GW,S,S%,TOI,ATOI
387,Philippe Dupuis,25,COL,C,74,6,11,17,6,-4,40,5,0,1,0,101,5.9,674,9:07
388,Ben Eager,27,TOT,LW,68,7,10,17,7,4,120,7,0,0,1,84,8.3,723,10:38
389,Lars Eller,21,MTL,C,77,7,10,17,6,-4,48,7,0,0,2,79,8.9,858,11:08
390,Milan Jurcina,27,NYI,D,46,4,13,17,6,-4,30,2,1,1,0,76,5.3,831,18:04
391,Ben Lovejoy,26,PIT,D,47,3,14,17,5,11,48,3,0,0,0,60,5,705,15:00
392,Johnny Oduya,29,ATL,D,82,2,15,17,5,-15,22,2,0,0,0,90,2.2,1699,20:43
393,Rostislav Olesz,25,FLA,C,44,6,11,17,6,-1,8,5,1,0,1,71,8.5,611,13:53
394,Nick Palmieri,21,NJD,RW,43,9,8,17,7,9,6,8,1,0,2,66,13.6,616,14:20
395,Darroll Powe,25,PHI,C,81,7,10,17,7,-6,41,5,0,2,2,87,8,995,12:17
396,Robyn Regehr,30,CGY,D,79,2,15,17,5,2,58,1,1,0,0,72,2.8,1697,21:29
397,Peter Regin,24,OTT,C,55,3,14,17,5,-4,12,3,0,0,1,87,3.4,736,13:23
398,Mike Rupp,31,PIT,C,81,9,8,17,7,-4,124,9,0,0,1,81,11.1,814,10:03
399,Cory Sarich,32,CGY,D,76,4,13,17,6,11,75,4,0,0,1,75,5.3,1359,17:53
400,Nick Schultz,28,MIN,D,74,3,14,17,5,-4,38,3,0,0,0,46,6.5,1496,20:13
401,Jeff Tambellini,26,VAN,LW,62,9,8,17,7,10,18,8,1,0,0,114,7.9,731,11:47
402,Mike Weber,23,BUF,D,58,4,13,17,6,13,69,4,0,0,0,53,7.5,980,16:54
403,Johnny Boychuk,27,BOS,D,69,3,13,16,5,15,45,2,1,0,1,154,1.9,1415,20:30
404,Eric Brewer,31,TOT,D,76,9,7,16,7,6,81,9,0,0,1,110,8.2,1675,22:03
405,Braydon Coburn,25,PHI,D,82,2,14,16,5,15,53,2,0,0,0,114,1.8,1728,21:04
406,Chris Conner,27,PIT,RW,60,7,9,16,6,5,10,7,0,0,3,91,7.7,709,11:49
407,Alex Frolov,28,NYR,LW,43,7,9,16,6,4,8,7,0,0,2,78,9,620,14:26
408,Tim Gleason,28,CAR,D,82,2,14,16,5,-11,85,2,0,0,0,84,2.4,1719,20:58
409,Mike Grier,36,BUF,RW,73,5,11,16,6,0,12,5,0,0,0,107,4.7,1051,14:24
410,Chuck Kobasew,28,MIN,RW,63,9,7,16,7,-6,19,9,0,0,1,74,12.2,746,11:50
411,Filip Kuba,34,OTT,D,64,2,14,16,5,-26,16,2,0,0,1,76,2.6,1327,20:44
412,Sami Lepisto,26,TOT,D,70,4,12,16,5,10,55,4,0,0,0,56,7.1,1229,17:33
413,Radek Martinek,34,NYI,D,64,3,13,16,5,-5,35,2,1,0,0,97,3.1,1334,20:51
414,Alec Martinez,23,LAK,D,60,5,11,16,6,11,18,4,1,0,0,74,6.8,917,15:17
415,Shawn Matthias,22,FLA,C,51,6,10,16,6,0,16,6,0,0,0,90,6.7,604,11:50
416,Travis Moen,28,MTL,LW,79,6,10,16,6,-4,96,5,0,1,0,99,6.1,1042,13:11
417,Derek Morris,32,PHX,D,77,5,11,16,6,-2,58,4,1,0,1,83,6,1622,21:04
418,Chris Neil,31,OTT,RW,80,6,10,16,6,-14,210,6,0,0,2,105,5.7,1021,12:46
419,Fernando Pisani,34,CHI,RW,60,7,9,16,6,0,10,6,1,0,1,72,9.7,754,12:34
420,Jaroslav Spacek,36,MTL,D,59,1,15,16,5,9,45,1,0,0,0,65,1.5,1135,19:15
421,Marco Sturm,32,TOT,LW,35,5,11,16,6,6,23,4,1,0,1,57,8.8,498,14:14
422,Henrik Tallinder,32,NJD,D,82,5,11,16,6,-6,40,4,0,1,2,102,4.9,1848,22:32
423,Ryan Wilson,23,COL,D,67,3,13,16,5,-8,68,2,1,0,0,62,4.8,1327,19:48
424,Brad Winchester,29,TOT,LW,76,10,6,16,7,-18,114,7,3,0,1,90,11.1,797,10:29
425,Craig Adams,33,PIT,RW,80,4,11,15,5,-5,76,2,0,2,1,90,4.4,975,12:11
426,Steve Bernier,25,FLA,RW,68,5,10,15,5,-14,21,2,3,0,0,97,5.2,886,13:02
427,Chris Clark,34,CBJ,RW,53,5,10,15,5,-3,38,3,2,0,0,83,6,776,14:39
428,Joey Crabb,27,TOR,RW,48,3,12,15,5,-1,24,2,0,1,2,51,5.9,623,12:59
429,Jonathan Ericsson,26,DET,D,74,3,12,15,5,8,87,2,1,0,0,89,3.4,1394,18:50
430,Andrew Ference,31,BOS,D,70,3,12,15,5,22,60,3,0,0,0,78,3.8,1259,17:59
431,TJ Galiardi,22,COL,LW,35,7,8,15,6,-6,12,7,0,0,1,62,11.3,567,16:12
432,Adam McQuaid,24,BOS,D,67,3,12,15,5,30,96,3,0,0,0,46,6.5,996,14:52
433,Marc Methot,25,CBJ,D,74,0,15,15,4,2,58,0,0,0,0,58,0,1472,19:53
434,Mike Modano,40,DET,C,40,4,11,15,5,-4,8,3,1,0,0,79,5.1,498,12:27
435,Alexei Ponikarovsky,30,LAK,LW,61,5,10,15,5,1,36,4,1,0,1,94,5.3,769,12:36
436,Michael Sauer,23,NYR,D,76,3,12,15,5,20,75,2,1,0,2,54,5.6,1331,17:31
437,Rob Scuderi,32,LAK,D,82,2,13,15,5,1,16,2,0,0,1,46,4.3,1664,20:17
438,Dana Tyrell,21,TBL,C,78,6,9,15,6,-5,12,6,0,0,1,73,8.2,940,12:03
439,Mikkel Boedker,21,PHX,LW,34,4,10,14,5,11,8,4,0,0,0,39,10.3,371,10:54
440,Adam Burish,28,DAL,C,63,8,6,14,6,2,91,8,0,0,1,89,9,904,14:21
441,Kyle Clifford,20,LAK,LW,76,7,7,14,6,-10,141,7,0,0,0,69,10.1,722,9:30
442,B.J. Crombeen,25,STL,RW,80,7,7,14,6,-18,154,6,0,1,0,113,6.2,1024,12:48
443,Mark Fayne,23,NJD,D,57,4,10,14,5,10,27,4,0,0,0,77,5.2,1017,17:50
444,Ed Jovanovski,34,PHX,D,50,5,9,14,5,4,39,4,1,0,1,73,6.8,1024,20:29
445,Matt Martin,21,NYI,LW,68,5,9,14,5,-13,147,5,0,0,1,60,8.3,745,10:57
446,Jamal Mayers,36,SJS,RW,78,3,11,14,5,3,124,3,0,0,0,62,4.8,693,8:53
447,Douglas Murray,30,SJS,D,73,1,13,14,4,5,44,1,0,0,0,102,1,1432,19:37
448,Mathieu Perreault,23,WSH,C,35,7,7,14,6,-3,20,6,1,0,1,41,17.1,416,11:53
449,David Schlemko,23,PHX,D,43,4,10,14,5,8,24,4,0,0,0,47,8.5,690,16:02
450,Nick Spaling,22,NSH,C,74,8,6,14,6,-10,20,7,1,0,2,75,10.7,1031,13:56
451,Jim Vandermeer,30,EDM,D,62,2,12,14,4,-15,74,2,0,0,0,57,3.5,1128,18:12
452,Darryl Boyce,26,TOR,C,46,5,8,13,5,8,33,5,0,0,1,27,18.5,524,11:23
453,Colin Greening,24,OTT,C,24,6,7,13,5,2,10,6,0,0,2,57,10.5,362,15:05
454,Matt Hunwick,25,TOT,D,73,1,12,13,4,-15,25,1,0,0,0,100,1,1351,18:31
455,Barret Jackman,29,STL,D,60,0,13,13,4,3,57,0,0,0,0,65,0,1248,20:48
456,Randy Jones,29,TBL,D,61,1,12,13,4,-4,15,1,0,0,0,52,1.9,1041,17:03
457,Trevor Lewis,24,LAK,C,72,3,10,13,4,-11,6,3,0,0,2,105,2.9,827,11:29
458,Brooks Orpik,30,PIT,D,63,1,12,13,4,12,66,1,0,0,0,56,1.8,1316,20:53
459,Daniel Paille,26,BOS,LW,43,6,7,13,5,3,28,5,0,1,0,48,12.5,486,11:18
460,Theo Peckham,23,EDM,D,71,3,10,13,4,-5,198,3,0,0,0,41,7.3,1320,18:36
461,Dan Sexton,23,ANA,RW,47,4,9,13,5,-6,4,3,1,0,0,78,5.1,545,11:35
462,Jerred Smithson,31,NSH,C,82,5,8,13,5,-6,34,5,0,0,0,73,6.8,1218,14:51
463,Mike Weaver,32,FLA,D,82,2,11,13,4,1,34,2,0,0,1,53,3.8,1706,20:48
464,Kyle Wellwood,27,SJS,C,35,5,8,13,5,10,0,5,0,0,0,50,10,479,13:41
465,Jesse Winchester,27,OTT,C,72,4,9,13,5,-9,42,4,0,0,0,118,3.4,780,10:50
466,Karl Alzner,22,WSH,D,82,2,10,12,4,14,24,2,0,0,0,64,3.1,1641,20:01
467,Blair Betts,30,PHI,C,75,5,7,12,5,-3,8,4,0,1,2,51,9.8,784,10:27
468,Jared Boll,24,CBJ,RW,73,7,5,12,5,-2,182,7,0,0,2,66,10.6,560,7:40
469,Keaton Ellerby,22,FLA,D,54,2,10,12,4,-15,22,2,0,0,0,56,3.6,869,16:06
470,Matt Halischuk,22,NSH,RW,27,4,8,12,4,5,2,4,0,0,1,29,13.8,273,10:08
471,Dustin Jeffrey,22,PIT,C,25,7,5,12,5,5,4,6,1,0,1,39,17.9,324,12:58
472,Nazem Kadri,20,TOR,C,29,3,9,12,4,-3,8,3,0,0,0,51,5.9,457,15:47
473,Maxim Lapierre,25,TOT,C,78,6,6,12,5,-14,80,6,0,0,0,129,4.7,907,11:38
474,Mike Lundin,26,TBL,D,69,1,11,12,3,-3,12,1,0,0,0,55,1.8,1408,20:24
475,Eric Nystrom,27,MIN,LW,82,4,8,12,4,-16,30,3,1,0,0,83,4.8,1091,13:19
476,Roman Polak,24,STL,D,55,3,9,12,4,-4,33,3,0,0,1,54,5.6,1098,19:57
477,Jarkko Ruutu,35,TOT,LW,73,3,9,12,4,-2,97,3,0,0,1,66,4.5,830,11:22
478,Jim Slater,28,ATL,C,36,5,7,12,5,4,19,5,0,0,1,53,9.4,381,10:35
479,Jared Spurgeon,21,MIN,D,53,4,8,12,4,-1,2,2,2,0,1,38,10.5,799,15:04
480,David Steckel,28,TOT,C,75,6,6,12,5,-6,26,5,0,1,1,79,7.6,891,11:53
481,Jiri Tlusty,22,CAR,C,57,6,6,12,5,1,14,6,0,0,0,53,11.3,562,9:52
482,Arron Asham,32,PIT,RW,44,5,6,11,4,0,46,5,0,0,0,60,8.3,420,9:33
483,Matt Bradley,32,WSH,RW,61,4,7,11,4,-3,68,4,0,0,0,58,6.9,640,10:29
484,Justin Braun,23,SJS,D,28,2,9,11,3,-1,2,0,2,0,0,44,4.5,462,16:30
485,Erik Condra,24,OTT,RW,26,6,5,11,5,-1,12,5,1,0,2,48,12.5,413,15:52
